sale_id,date,month,quarter,territory,province,city,clinic_id,clinic_name,sales_rep,product_name,product_category,animal_segment,unit_price,quantity,discount_pct,revenue,quota,quota_attainment
S0831,2024-01-08,January,Q1,Quebec,QC,Laval,CLN1061,Mayo Mixed Practice,Marc Tremblay,Clomicalm 20mg,Behaviour,Companion,67.0,13,0.03,844.87,840.78,100.5
S0071,2024-01-09,January,Q1,Quebec,QC,Montreal,CLN1072,Hahn Mixed Practice,Marc Tremblay,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,31,0.1,3738.6,3904.94,95.7
S0316,2024-01-09,January,Q1,Atlantic Canada,NS,St. John's,CLN1120,Hernandez Animal Hospital,Connor MacDonald,Vetmedin 5mg,Cardiology,Companion,89.5,43,0.06,3617.59,4375.95,82.7
S0343,2024-01-09,January,Q1,Ontario East,ON,Kingston,CLN1002,Johnson Animal Hospital,Sarah Mitchell,Zactran 150mg/mL,Antibiotics,Cattle,320.0,47,0.04,14438.4,19296.74,74.8
S0912,2024-01-09,January,Q1,Ontario East,ON,Kingston,CLN1020,Smith Mixed Practice,David Park,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,9,0.02,1543.5,1224.07,126.1
S0995,2024-01-09,January,Q1,Ontario West,ON,Burlington,CLN1028,Davis Animal Hospital,James Okafor,Nexgard Spectra L,Parasitology,Companion,44.5,19,0.04,811.68,1095.26,74.1
S0177,2024-01-10,January,Q1,Quebec,QC,Montreal,CLN1072,Hahn Mixed Practice,Isabelle Roy,Vetmedin 10mg,Cardiology,Companion,142.0,26,0.13,3212.04,2490.56,129.0
S0145,2024-01-11,January,Q1,Ontario East,ON,Ottawa,CLN1016,Gardner Animal Hospital,David Park,Vetmedin 10mg,Cardiology,Companion,142.0,43,0.03,5922.82,6714.68,88.2
S0372,2024-01-14,January,Q1,Ontario East,ON,Kingston,CLN1015,Santos Farm Supply & Vet,Sarah Mitchell,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,35,0.03,10117.1,12247.47,82.6
S0827,2024-01-14,January,Q1,Atlantic Canada,NS,St. John's,CLN1120,Hernandez Animal Hospital,Fatima Hassan,Clomicalm 20mg,Behaviour,Companion,67.0,50,0.03,3249.5,2693.6,120.6
S0531,2024-01-15,January,Q1,Quebec,QC,Sherbrooke,CLN1065,Cameron Animal Hospital,Isabelle Roy,Clomicalm 20mg,Behaviour,Companion,67.0,50,0.13,2914.5,3723.56,78.3
S0583,2024-01-15,January,Q1,Western Canada,AB,Saskatoon,CLN1087,Bright Veterinary Clinic,Priya Sharma,Clomicalm 20mg,Behaviour,Companion,67.0,40,0.06,2519.2,2431.43,103.6
S0703,2024-01-15,January,Q1,Atlantic Canada,NS,Fredericton,CLN1097,Ferrell Farm Supply & Vet,Fatima Hassan,Ingelvac PRRS MLV,Vaccines,Swine,185.0,44,0.07,7570.2,8343.09,90.7
S0980,2024-01-15,January,Q1,Ontario East,ON,Belleville,CLN1006,Rhodes Veterinary Clinic,Sarah Mitchell,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,4,0.14,460.96,394.37,116.9
S0232,2024-01-16,January,Q1,Western Canada,AB,Saskatoon,CLN1086,Robinson Mixed Practice,Priya Sharma,Nexgard Spectra L,Parasitology,Companion,44.5,33,0.12,1292.28,1496.0,86.4
S0400,2024-01-16,January,Q1,Quebec,QC,Laval,CLN1063,Hawkins Farm Supply & Vet,Isabelle Roy,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,29,0.07,3613.98,2889.75,125.1
S0469,2024-01-16,January,Q1,Quebec,QC,Sherbrooke,CLN1066,Parsons Veterinary Clinic,Marc Tremblay,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,20,0.04,3360.0,4517.2,74.4
S0818,2024-01-16,January,Q1,Ontario West,ON,London,CLN1036,Arnold Mixed Practice,James Okafor,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,17,0.13,2588.25,3323.94,77.9
S0825,2024-01-16,January,Q1,Quebec,QC,Montreal,CLN1069,Stewart Farm Supply & Vet,Marc Tremblay,Clomicalm 20mg,Behaviour,Companion,67.0,21,0.13,1224.09,1024.95,119.4
S0852,2024-01-17,January,Q1,Ontario East,ON,Toronto,CLN1024,Moore Mixed Practice,Sarah Mitchell,Vetmedin 5mg,Cardiology,Companion,89.5,42,0.05,3571.05,2989.77,119.4
S0450,2024-01-19,January,Q1,Ontario West,ON,Kitchener,CLN1032,Blair Farm Supply & Vet,James Okafor,Ingelvac PRRS MLV,Vaccines,Swine,185.0,24,0.06,4173.6,3506.04,119.0
S0868,2024-01-19,January,Q1,Ontario West,ON,Windsor,CLN1025,Bernard Mixed Practice,Emily Chen,Nexgard Spectra L,Parasitology,Companion,44.5,44,0.07,1820.94,1884.13,96.6
S0023,2024-01-20,January,Q1,Atlantic Canada,NS,Halifax,CLN1103,Maldonado Livestock Practice,Connor MacDonald,Nexgard Spectra M,Parasitology,Companion,38.9,11,0.12,376.55,306.83,122.7
S0289,2024-01-20,January,Q1,Ontario West,ON,London,CLN1037,Calderon Animal Hospital,James Okafor,Vetmedin 10mg,Cardiology,Companion,142.0,42,0.09,5427.24,5813.07,93.4
S0291,2024-01-20,January,Q1,Atlantic Canada,NS,St. John's,CLN1101,Smith Livestock Practice,Fatima Hassan,Clomicalm 20mg,Behaviour,Companion,67.0,48,0.14,2765.76,3611.04,76.6
S0019,2024-01-21,January,Q1,Quebec,QC,Laval,CLN1071,Clark Animal Hospital,Marc Tremblay,Ingelvac CircoFLEX,Vaccines,Swine,210.0,9,0.01,1871.1,1812.7,103.2
S0191,2024-01-21,January,Q1,Quebec,QC,Montreal,CLN1058,Daniel Livestock Practice,Marc Tremblay,Nexgard Spectra L,Parasitology,Companion,44.5,46,0.01,2026.53,2305.54,87.9
S0467,2024-01-21,January,Q1,Ontario East,ON,Belleville,CLN1012,Wagner Mixed Practice,Sarah Mitchell,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,20,0.12,3080.0,3597.83,85.6
S0576,2024-01-21,January,Q1,Quebec,QC,Sherbrooke,CLN1059,Martin Mixed Practice,Isabelle Roy,Nexgard Spectra M,Parasitology,Companion,38.9,30,0.01,1155.33,1430.19,80.8
S0189,2024-01-22,January,Q1,Western Canada,AB,Saskatoon,CLN1079,Baker Veterinary Clinic,Priya Sharma,Ingelvac PRRS MLV,Vaccines,Swine,185.0,38,0.08,6467.6,7923.4,81.6
S0223,2024-01-22,January,Q1,Western Canada,AB,Vancouver,CLN1092,Burton Veterinary Clinic,Priya Sharma,Vetmedin 5mg,Cardiology,Companion,89.5,19,0.03,1649.48,2020.06,81.7
S0761,2024-01-22,January,Q1,Atlantic Canada,NS,Fredericton,CLN1102,Le Veterinary Clinic,Fatima Hassan,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,8,0.06,2240.96,2007.57,111.6
S0836,2024-01-22,January,Q1,Quebec,QC,Quebec City,CLN1068,Johnson Mixed Practice,Marc Tremblay,Zactran 150mg/mL,Antibiotics,Cattle,320.0,7,0.07,2083.2,2596.1,80.2
S0960,2024-01-22,January,Q1,Quebec,QC,Montreal,CLN1069,Stewart Farm Supply & Vet,Isabelle Roy,Vetmedin 5mg,Cardiology,Companion,89.5,3,0.05,255.07,242.99,105.0
S0679,2024-01-23,January,Q1,Ontario East,ON,Kingston,CLN1017,Robinson Veterinary Clinic,Sarah Mitchell,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,42,0.06,6909.0,6925.65,99.8
S0978,2024-01-23,January,Q1,Atlantic Canada,NS,Fredericton,CLN1102,Le Veterinary Clinic,Connor MacDonald,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,31,0.07,5045.25,4267.55,118.2
S0584,2024-01-24,January,Q1,Atlantic Canada,NS,St. John's,CLN1111,Liu Animal Hospital,Connor MacDonald,Ingelvac PRRS MLV,Vaccines,Swine,185.0,32,0.02,5801.6,5782.86,100.3
S0600,2024-01-24,January,Q1,Ontario West,ON,Burlington,CLN1028,Davis Animal Hospital,Emily Chen,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,46,0.05,2392.57,2881.35,83.0
S0566,2024-01-25,January,Q1,Atlantic Canada,NS,Fredericton,CLN1102,Le Veterinary Clinic,Connor MacDonald,Ingelvac CircoFLEX,Vaccines,Swine,210.0,41,0.04,8265.6,8851.14,93.4
S0723,2024-01-25,January,Q1,Quebec,QC,Laval,CLN1067,Perez Mixed Practice,Isabelle Roy,Ingelvac PRRS MLV,Vaccines,Swine,185.0,20,0.04,3552.0,4493.64,79.0
S0474,2024-01-26,January,Q1,Quebec,QC,Sherbrooke,CLN1057,Jackson Mixed Practice,Marc Tremblay,Vetmedin 10mg,Cardiology,Companion,142.0,22,0.02,3061.52,4027.03,76.0
S0851,2024-01-26,January,Q1,Ontario West,ON,Kitchener,CLN1032,Blair Farm Supply & Vet,Emily Chen,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,41,0.08,11240.56,13996.2,80.3
S0015,2024-01-27,January,Q1,Western Canada,AB,Vancouver,CLN1082,Baker Farm Supply & Vet,Priya Sharma,Zactran 150mg/mL,Antibiotics,Cattle,320.0,32,0.04,9830.4,12729.34,77.2
S0193,2024-01-27,January,Q1,Atlantic Canada,NS,Fredericton,CLN1118,Fowler Animal Hospital,Fatima Hassan,Ingelvac CircoFLEX,Vaccines,Swine,210.0,27,0.12,4989.6,5774.66,86.4
S0452,2024-01-27,January,Q1,Ontario West,ON,Windsor,CLN1035,Gray Veterinary Clinic,James Okafor,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,24,0.02,7008.96,8088.31,86.7
S0759,2024-01-27,January,Q1,Quebec,QC,Laval,CLN1067,Perez Mixed Practice,Marc Tremblay,Nexgard Spectra M,Parasitology,Companion,38.9,31,0.1,1085.31,943.39,115.0
S0924,2024-01-27,January,Q1,Western Canada,AB,Vancouver,CLN1094,Henderson Veterinary Clinic,Priya Sharma,Vetmedin 5mg,Cardiology,Companion,89.5,41,0.07,3412.63,2905.68,117.4
S0645,2024-01-28,January,Q1,Atlantic Canada,NS,Halifax,CLN1107,Rodriguez Livestock Practice,Fatima Hassan,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,8,0.03,424.86,522.49,81.3
S0806,2024-01-28,January,Q1,Ontario West,ON,Windsor,CLN1026,Rogers Mixed Practice,Emily Chen,Clomicalm 20mg,Behaviour,Companion,67.0,49,0.11,2921.87,2341.85,124.8
S0811,2024-01-28,January,Q1,Ontario East,ON,Belleville,CLN1022,Wolfe Mixed Practice,Sarah Mitchell,Nexgard Spectra M,Parasitology,Companion,38.9,13,0.12,445.02,498.77,89.2
S0119,2024-01-29,January,Q1,Quebec,QC,Sherbrooke,CLN1057,Jackson Mixed Practice,Marc Tremblay,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,20,0.14,2304.8,1792.2,128.6
S0347,2024-01-29,January,Q1,Western Canada,AB,Vancouver,CLN1084,Hurst Farm Supply & Vet,Ryan Nakamura,Vetmedin 10mg,Cardiology,Companion,142.0,26,0.06,3470.48,3753.74,92.5
S0442,2024-01-29,January,Q1,Ontario East,ON,Ottawa,CLN1008,Miller Animal Hospital,Sarah Mitchell,Vetmedin 10mg,Cardiology,Companion,142.0,28,0.02,3896.48,4353.84,89.5
S0482,2024-01-29,January,Q1,Ontario East,ON,Kingston,CLN1021,Shaffer Veterinary Clinic,Sarah Mitchell,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,43,0.04,2260.08,2418.77,93.4
S1000,2024-01-29,January,Q1,Western Canada,AB,Calgary,CLN1090,Williams Mixed Practice,Ryan Nakamura,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,6,0.09,955.5,909.08,105.1
S0544,2024-01-30,January,Q1,Ontario West,ON,Windsor,CLN1034,Dudley Animal Hospital,Emily Chen,Metacam Oral 1.5mg,Pain & Inflammation,Companion,54.75,10,0.08,503.7,450.4,111.8
S0161,2024-01-31,January,Q1,Quebec,QC,Quebec City,CLN1056,Lynch Animal Hospital,Marc Tremblay,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,48,0.06,6046.08,5006.57,120.8
S0190,2024-02-01,February,Q1,Quebec,QC,Montreal,CLN1058,Daniel Livestock Practice,Marc Tremblay,Nexgard Spectra L,Parasitology,Companion,44.5,39,0.07,1614.01,1356.6,119.0
S0276,2024-02-01,February,Q1,Ontario West,ON,London,CLN1027,Davis Veterinary Clinic,Emily Chen,Zactran 150mg/mL,Antibiotics,Cattle,320.0,50,0.09,14560.0,15039.95,96.8
S0222,2024-02-02,February,Q1,Ontario East,ON,Toronto,CLN1023,Peterson Livestock Practice,David Park,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,31,0.09,3780.14,4675.65,80.8
S0309,2024-02-02,February,Q1,Western Canada,AB,Calgary,CLN1096,James Mixed Practice,Ryan Nakamura,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,5,0.01,1475.1,1411.25,104.5
S0415,2024-02-02,February,Q1,Ontario East,ON,Toronto,CLN1001,Fowler Veterinary Clinic,Sarah Mitchell,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,30,0.1,3618.0,4227.17,85.6
S0771,2024-02-02,February,Q1,Atlantic Canada,NS,Fredericton,CLN1114,White Veterinary Clinic,Connor MacDonald,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,24,0.12,6293.76,5622.04,111.9
S0080,2024-02-03,February,Q1,Ontario West,ON,Burlington,CLN1044,Roberts Animal Hospital,James Okafor,Vetmedin 5mg,Cardiology,Companion,89.5,17,0.14,1308.49,1356.43,96.5
S0856,2024-02-03,February,Q1,Ontario West,ON,Burlington,CLN1042,Williams Farm Supply & Vet,Emily Chen,Ingelvac CircoFLEX,Vaccines,Swine,210.0,5,0.11,934.5,1173.72,79.6
S0518,2024-02-04,February,Q1,Ontario West,ON,Windsor,CLN1026,Rogers Mixed Practice,James Okafor,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,17,0.05,4812.7,5709.12,84.3
S0865,2024-02-04,February,Q1,Ontario West,ON,Burlington,CLN1028,Davis Animal Hospital,James Okafor,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,13,0.1,2047.5,1848.18,110.8
S0635,2024-02-06,February,Q1,Ontario East,ON,Toronto,CLN1005,Doyle Mixed Practice,Sarah Mitchell,Vetmedin 10mg,Cardiology,Companion,142.0,4,0.03,550.96,496.49,111.0
S0730,2024-02-06,February,Q1,Atlantic Canada,NS,Moncton,CLN1104,Herrera Livestock Practice,Fatima Hassan,Ingelvac CircoFLEX,Vaccines,Swine,210.0,41,0.09,7835.1,7779.19,100.7
S0949,2024-02-06,February,Q1,Ontario West,ON,Burlington,CLN1028,Davis Animal Hospital,James Okafor,Ingelvac PRRS MLV,Vaccines,Swine,185.0,46,0.04,8169.6,6298.08,129.7
S0436,2024-02-07,February,Q1,Quebec,QC,Sherbrooke,CLN1054,Zuniga Veterinary Clinic,Isabelle Roy,Zactran 150mg/mL,Antibiotics,Cattle,320.0,44,0.03,13657.6,14102.96,96.8
S0700,2024-02-07,February,Q1,Western Canada,AB,Calgary,CLN1074,Edwards Veterinary Clinic,Ryan Nakamura,Nexgard Spectra M,Parasitology,Companion,38.9,12,0.06,438.79,357.12,122.9
S0231,2024-02-08,February,Q1,Western Canada,AB,Saskatoon,CLN1079,Baker Veterinary Clinic,Priya Sharma,Nexgard Spectra M,Parasitology,Companion,38.9,41,0.15,1355.66,1787.77,75.8
S0589,2024-02-08,February,Q1,Western Canada,AB,Saskatoon,CLN1083,Richards Animal Hospital,Ryan Nakamura,Zactran 150mg/mL,Antibiotics,Cattle,320.0,31,0.13,8630.4,10974.84,78.6
S0944,2024-02-08,February,Q1,Atlantic Canada,NS,St. John's,CLN1115,Gaines Mixed Practice,Connor MacDonald,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,12,0.04,1543.68,1590.26,97.1
S0213,2024-02-10,February,Q1,Western Canada,AB,Calgary,CLN1090,Williams Mixed Practice,Ryan Nakamura,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,31,0.07,3863.22,2909.59,132.8
S0283,2024-02-10,February,Q1,Atlantic Canada,NS,St. John's,CLN1105,Adams Livestock Practice,Fatima Hassan,Clomicalm 20mg,Behaviour,Companion,67.0,19,0.01,1260.27,1667.57,75.6
S0728,2024-02-10,February,Q1,Ontario West,ON,Kitchener,CLN1046,Hall Livestock Practice,Emily Chen,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,33,0.07,5370.75,6401.48,83.9
S0346,2024-02-11,February,Q1,Quebec,QC,Sherbrooke,CLN1059,Martin Mixed Practice,Marc Tremblay,Metacam 20mg/mL Inj,Pain & Inflammation,Cattle,134.0,15,0.04,1929.6,2405.9,80.2
S0555,2024-02-11,February,Q1,Western Canada,AB,Edmonton,CLN1073,Walter Livestock Practice,Priya Sharma,Clomicalm 20mg,Behaviour,Companion,67.0,21,0.13,1224.09,1050.53,116.5
S0358,2024-02-12,February,Q1,Quebec,QC,Quebec City,CLN1049,Reid Mixed Practice,Marc Tremblay,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,19,0.12,4982.56,5868.78,84.9
S0439,2024-02-12,February,Q1,Quebec,QC,Sherbrooke,CLN1052,Clark Farm Supply & Vet,Marc Tremblay,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,35,0.08,5635.0,4742.46,118.8
S0681,2024-02-12,February,Q1,Atlantic Canada,NS,Halifax,CLN1103,Maldonado Livestock Practice,Connor MacDonald,Ingelvac CircoFLEX,Vaccines,Swine,210.0,9,0.04,1814.4,2194.54,82.7
S0363,2024-02-13,February,Q1,Western Canada,AB,Vancouver,CLN1077,Rocha Mixed Practice,Priya Sharma,Ingelvac CircoFLEX,Vaccines,Swine,210.0,1,0.04,201.6,198.11,101.8
S0382,2024-02-13,February,Q1,Western Canada,AB,Calgary,CLN1089,Davis Farm Supply & Vet,Ryan Nakamura,Nexgard Spectra L,Parasitology,Companion,44.5,2,0.07,82.77,76.75,107.8
S0472,2024-02-13,February,Q1,Ontario East,ON,Kingston,CLN1017,Robinson Veterinary Clinic,Sarah Mitchell,Ingelvac CircoFLEX,Vaccines,Swine,210.0,24,0.1,4536.0,5953.7,76.2
S0405,2024-02-14,February,Q1,Western Canada,AB,Calgary,CLN1095,Brown Farm Supply & Vet,Ryan Nakamura,Nexgard Spectra M,Parasitology,Companion,38.9,3,0.07,108.53,104.1,104.3
S0696,2024-02-14,February,Q1,Ontario East,ON,Belleville,CLN1022,Wolfe Mixed Practice,Sarah Mitchell,Nexgard Spectra L,Parasitology,Companion,44.5,16,0.1,640.8,855.72,74.9
S0880,2024-02-14,February,Q1,Ontario East,ON,Kingston,CLN1015,Santos Farm Supply & Vet,Sarah Mitchell,Nexgard Spectra M,Parasitology,Companion,38.9,3,0.1,105.03,116.22,90.4
S0942,2024-02-14,February,Q1,Atlantic Canada,NS,St. John's,CLN1115,Gaines Mixed Practice,Connor MacDonald,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,41,0.02,11973.64,15861.21,75.5
S0557,2024-02-15,February,Q1,Ontario West,ON,London,CLN1036,Arnold Mixed Practice,James Okafor,Clomicalm 20mg,Behaviour,Companion,67.0,37,0.11,2206.31,2302.83,95.8
S0906,2024-02-15,February,Q1,Atlantic Canada,NS,Fredericton,CLN1102,Le Veterinary Clinic,Fatima Hassan,Ingelvac CircoFLEX,Vaccines,Swine,210.0,46,0.15,8211.0,7854.3,104.5
S0919,2024-02-15,February,Q1,Western Canada,AB,Vancouver,CLN1094,Henderson Veterinary Clinic,Priya Sharma,Ingelvac PRRS MLV,Vaccines,Swine,185.0,34,0.01,6227.1,7995.28,77.9
S0971,2024-02-15,February,Q1,Atlantic Canada,NS,St. John's,CLN1100,Valencia Animal Hospital,Connor MacDonald,Vetmedin 5mg,Cardiology,Companion,89.5,32,0.01,2835.36,2138.81,132.6
S0974,2024-02-15,February,Q1,Ontario East,ON,Toronto,CLN1023,Peterson Livestock Practice,Sarah Mitchell,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,12,0.11,3182.64,3555.74,89.5
S0168,2024-02-16,February,Q1,Western Canada,AB,Saskatoon,CLN1085,Ross Farm Supply & Vet,Priya Sharma,Vetmedin 10mg,Cardiology,Companion,142.0,10,0.11,1263.8,1684.75,75.0
S0188,2024-02-16,February,Q1,Quebec,QC,Montreal,CLN1058,Daniel Livestock Practice,Marc Tremblay,Vetmedin 5mg,Cardiology,Companion,89.5,24,0.12,1890.24,1504.7,125.6
S0306,2024-02-16,February,Q1,Ontario West,ON,Burlington,CLN1042,Williams Farm Supply & Vet,Emily Chen,Vetmedin 10mg,Cardiology,Companion,142.0,44,0.03,6060.56,6665.94,90.9
S0574,2024-02-16,February,Q1,Ontario East,ON,Kingston,CLN1002,Johnson Animal Hospital,Sarah Mitchell,Vetmedin 10mg,Cardiology,Companion,142.0,37,0.1,4728.6,3969.6,119.1
S0593,2024-02-16,February,Q1,Ontario East,ON,Ottawa,CLN1003,Hill Animal Hospital,Sarah Mitchell,Ingelvac CircoFLEX,Vaccines,Swine,210.0,27,0.01,5613.3,6059.33,92.6
S0690,2024-02-16,February,Q1,Western Canada,AB,Saskatoon,CLN1079,Baker Veterinary Clinic,Ryan Nakamura,Clomicalm 20mg,Behaviour,Companion,67.0,25,0.14,1440.5,1084.95,132.8
S0160,2024-02-17,February,Q1,Ontario West,ON,Windsor,CLN1048,Ramirez Animal Hospital,James Okafor,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,31,0.01,5370.75,6708.41,80.1
S0296,2024-02-18,February,Q1,Atlantic Canada,NS,Fredericton,CLN1110,Mckay Mixed Practice,Fatima Hassan,Ingelvac CircoFLEX,Vaccines,Swine,210.0,33,0.05,6583.5,6520.96,101.0
S0577,2024-02-18,February,Q1,Atlantic Canada,NS,Fredericton,CLN1110,Mckay Mixed Practice,Fatima Hassan,Nexgard Spectra L,Parasitology,Companion,44.5,44,0.05,1860.1,2219.33,83.8
S0257,2024-02-19,February,Q1,Ontario West,ON,Burlington,CLN1041,Bush Animal Hospital,James Okafor,Ingelvac PRRS MLV,Vaccines,Swine,185.0,8,0.04,1420.8,1276.95,111.3
S0265,2024-02-19,February,Q1,Atlantic Canada,NS,St. John's,CLN1098,Rice Animal Hospital,Fatima Hassan,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,44,0.09,11931.92,9870.06,120.9
S0512,2024-02-19,February,Q1,Atlantic Canada,NS,Moncton,CLN1108,Graham Veterinary Clinic,Fatima Hassan,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,4,0.02,1168.16,1364.27,85.6
S0964,2024-02-19,February,Q1,Ontario East,ON,Kingston,CLN1002,Johnson Animal Hospital,Sarah Mitchell,Bovilis Bovipast RSP,Vaccines,Cattle,175.0,4,0.14,602.0,747.95,80.5
S0084,2024-02-20,February,Q1,Quebec,QC,Montreal,CLN1055,Wong Veterinary Clinic,Isabelle Roy,Draxxin 100mg/mL,Antibiotics,Cattle,298.0,40,0.01,11800.8,15648.63,75.4
S0143,2024-02-20,February,Q1,Ontario West,ON,Windsor,CLN1048,Ramirez Animal Hospital,James Okafor,Ingelvac PRRS MLV,Vaccines,Swine,185.0,29,0.14,4613.9,5828.6,79.2
